measure_id,legal_context_id
7,PRE.o
12,PRE.t
7,PRE.t
11,PRE.f
8,PRE.f
11,PRE.nf
12,PRE.nf
7,PRE.nf
7,PTD.a
7,PTD.h2
8,PTD.h2
7,PTD.h3
8,PTD.h3
12,BBA.a
8,BBA.a
23,PTV.a
23,PTV.b
23,PTV.d
29,PTV.d
41,PTV.d
23,PTV.e
29,PTV.e
41,PTV.e
12,PTS.a
7,PTS.a
8,PTS.a
11,IDS.b
12,IDS.b
33,IDS.b
7,IDS.b
8,IDS.b
33,IDS.e
25,OSC.t
26,OSC.t
26,STS.a
28,STS.a
25,STS.b
26,STS.b
27,STS.b
28,STS.b
29,STS.b
25,STS.c
26,STS.c
27,STS.c
28,STS.c
29,STS.c
25,STS.d
26,STS.d
27,STS.d
28,STS.d
29,STS.d
25,STS.e
26,STS.e
27,STS.e
28,STS.e
29,STS.e
26,STS.f
28,STS.f
29,STS.f
35,STO.b
27,STO.c1
28,STO.c1
29,STO.c1
29,STO.c2
25,STO.d1
27,STO.d1
25,STO.d2
27,STO.d2
25,STO.p1
26,STO.p1
27,STO.p1
28,STO.p1
29,STO.p1
25,STO.p2
26,STO.p2
27,STO.p2
28,STO.p2
29,STO.p2
25,STO.w
26,STO.w
26,RLP.c
28,RLP.c
26,RLP.p
35,PRB.v
35,PRB.j1
25,EMP.q
27,EMP.q
29,EMP.q
35,EMP.q
25,EMP.p
27,EMP.p
29,EMP.p
35,EMP.p
25,EMP.d
27,EMP.d
29,EMP.d
35,EMP.d
29,PBA.b
35,PBA.b
23,CCR.a
23,CCR.c
25,CCR.c
27,CCR.c
29,CCR.c
35,CCR.c
23,CCR.p
25,CCR.p
27,CCR.p
29,CCR.p
35,CCR.p
23,CCR.r
25,CCR.r
27,CCR.r
29,CCR.r
35,CCR.r
33,OTR.d
25,OTR.l
26,OTR.l
27,OTR.l
28,OTR.l
29,OTR.l
33,OTR.l
35,OTR.l
23,OCC.c
25,OCC.c
26,OCC.c
27,OCC.c
28,OCC.c
29,OCC.c
35,OCC.c
33,JDR.a
33,CTF.t
33,CTF.r
33,CTF.c
103,ACG.a
104,ACG.a
105,ACG.a
137,ACG.a
140,ACG.a
141,ACG.a
501,ACG.a
504,ACG.a
505,ACG.a
507,ACG.a
508,ACG.a
510,ACG.a
512,ACG.a
514,ACG.a
516,ACG.a
518,ACG.a
520,ACG.a
522,ACG.a
524,ACG.a
525,ACG.a
526,ACG.a
527,ACG.a
532,ACG.a
533,ACG.a
534,ACG.a
537,ACG.a
539,ACG.a
543,ACG.a
544,ACG.a
545,ACG.a
546,ACG.a
548,ACG.a
100,ACG.a
102,ACG.a
106,ACG.a
11,ACG.a
113,ACG.a
114,ACG.a
115,ACG.a
116,ACG.a
119,ACG.a
12,ACG.a
120,ACG.a
122,ACG.a
123,ACG.a
124,ACG.a
135,ACG.a
136,ACG.a
146,ACG.a
17,ACG.a
18,ACG.a
23,ACG.a
25,ACG.a
2511,ACG.a
26,ACG.a
27,ACG.a
28,ACG.a
29,ACG.a
33,ACG.a
35,ACG.a
41,ACG.a
7,ACG.a
8,ACG.a
103,ACG.j
104,ACG.j
105,ACG.j
137,ACG.j
140,ACG.j
141,ACG.j
501,ACG.j
504,ACG.j
505,ACG.j
507,ACG.j
508,ACG.j
510,ACG.j
512,ACG.j
514,ACG.j
516,ACG.j
518,ACG.j
520,ACG.j
522,ACG.j
524,ACG.j
525,ACG.j
526,ACG.j
527,ACG.j
532,ACG.j
533,ACG.j
534,ACG.j
537,ACG.j
539,ACG.j
543,ACG.j
544,ACG.j
545,ACG.j
546,ACG.j
548,ACG.j
100,ACG.j
102,ACG.j
106,ACG.j
11,ACG.j
113,ACG.j
114,ACG.j
115,ACG.j
116,ACG.j
119,ACG.j
12,ACG.j
120,ACG.j
122,ACG.j
123,ACG.j
124,ACG.j
135,ACG.j
136,ACG.j
146,ACG.j
17,ACG.j
18,ACG.j
23,ACG.j
25,ACG.j
2511,ACG.j
26,ACG.j
27,ACG.j
28,ACG.j
29,ACG.j
33,ACG.j
35,ACG.j
41,ACG.j
7,ACG.j
8,ACG.j